target,name,ico,raw_ico,profile_url
Praha 1,Praha 1,00063410,00063410,https://cityvizor.praha.eu/praha1
Praha 3,Praha 3,00063517,00063517,https://cityvizor.praha.eu/praha3
Praha 6,Praha 6,00063703,00063703,https://cityvizor.praha.eu/praha6
Praha 7,Praha 7,00063754,00063754,https://cityvizor.praha.eu/praha7
Praha 9,Praha 9,00063894,00063894,https://cityvizor.praha.eu/praha9
Praha 10,Praha 10,00063941,00063941 ,https://cityvizor.praha.eu/praha10
Praha 11,Praha 11,00231126,00231126,https://cityvizor.praha.eu/praha11
Praha 12,Praha 12,00231151,00231151,https://cityvizor.praha.eu/praha12
Praha 14,Praha 14,00231312,00231312,https://cityvizor.praha.eu/praha14
Praha 17,Praha 17,00231223,00231223,https://cityvizor.praha.eu/praha17
Praha 22,Praha 22,00240915,00240915,https://cityvizor.praha.eu/praha22
Praha-Libuš,Praha-Libuš,00231142,00231142,https://cityvizor.praha.eu/praha-libus
Praha-Zbraslav,Praha-Zbraslav,00241857,00241857,https://cityvizor.praha.eu/praha-zbraslav
Praha-Klánovice,Praha-Klánovice,00240281,00240281,https://cityvizor.praha.eu/Klanovice
Praha-Kolovraty,Praha-Kolovraty,00240346,00240346,https://cityvizor.praha.eu/kolovraty
Praha-Ďáblice,Praha - Ďáblice,00231266,00231266,https://cityvizor.praha.eu/praha_dablice
Praha-Dolní Měcholupy,Praha-Dolní Měcholupy,00231347,00231347,https://cityvizor.praha.eu/dolnimecholupy
