country_code,country_en,country_cs,value_2019_pct,latest_year,latest_value_pct
NOR,Norway,Norsko,30.22,2022,30.08
SWE,Sweden,Švédsko,28.47,2023,28.15
DNK,Denmark,Dánsko,27.63,2023,27.26
FIN,Finland,Finsko,24.22,2023,25.24
LVA,Latvia,Lotyšsko,19.10,2023,23.60
EST,Estonia,Estonsko,21.99,2023,23.41
HRV,Croatia,Chorvatsko,22.78,2023,22.78
LTU,Lithuania,Litva,22.33,2023,21.22
FRA,France,Francie,21.66,2023,20.74
IRL,Ireland,Irsko,19.84,2023,20.15
SVK,Slovak Republic,Slovensko,18.70,2023,19.28
HUN,Hungary,Maďarsko,19.81,2023,18.92
BEL,Belgium,Belgie,18.40,2023,18.33
CZE,Czechia,Česko,16.99,2023,17.78
ROU,Romania,Rumunsko,16.51,2023,17.36
GBR,United Kingdom,Spojené království,15.97,2023,17.08
SVN,Slovenia,Slovinsko,16.76,2023,16.76
BGR,Bulgaria,Bulharsko,16.26,2023,16.75
AUT,Austria,Rakousko,16.61,2023,16.70
POL,Poland,Polsko,17.28,2023,16.68
GRC,Greece,Řecko,16.03,2023,15.50
ESP,Spain,Španělsko,15.28,2023,15.25
PRT,Portugal,Portugalsko,14.19,2022,15.04
LUX,Luxembourg,Lucembursko,13.75,2023,14.73
ITA,Italy,Itálie,13.44,2023,13.66
TUR,Türkiye,Turecko,13.06,2023,13.03
NLD,Netherlands,Nizozemsko,11.96,2023,12.34
DEU,Germany,Německo,11.07,2023,11.53
CHE,Switzerland,Švýcarsko,10.88,2022,11.48
OECD_REP,OECD average,Průměr OECD,18.11,2023,18.41
