druh_duchodu_kod,druh_duchodu,pohlavi_kod,pohlavi,referencni_obdobi,vyse_duchodu_kod,vyse_duchodu,pocet_nove_priznanych_duchodu
PK_D,Sirotčí důchod,T,Celkem,2008,I10000T10199,10000-10199,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I10200T10399,10200-10399,3.0
PK_D,Sirotčí důchod,T,Celkem,2008,I10400T10599,10400-10599,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I10600T10799,10600-10799,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I10800T10999,10800-10999,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I11000T11499,11000-11499,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I11500T11999,11500-11999,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I12000T12499,12000-12499,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I12500T12999,12500-12999,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I13000T13499,13000-13499,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I13500T13999,13500-13999,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I14000T14499,14000-14499,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I1T2999,1-2999,175.0
PK_D,Sirotčí důchod,T,Celkem,2008,I3000T3499,3000-3499,171.0
PK_D,Sirotčí důchod,T,Celkem,2008,I3500T3999,3500-3999,210.0
PK_D,Sirotčí důchod,T,Celkem,2008,I4000T4199,4000-4199,171.0
PK_D,Sirotčí důchod,T,Celkem,2008,I4200T4399,4200-4399,147.0
PK_D,Sirotčí důchod,T,Celkem,2008,I4400T4599,4400-4599,324.0
PK_D,Sirotčí důchod,T,Celkem,2008,I4600T4799,4600-4799,293.0
PK_D,Sirotčí důchod,T,Celkem,2008,I4800T4999,4800-4999,325.0
PK_D,Sirotčí důchod,T,Celkem,2008,I5000T5199,5000-5199,371.0
PK_D,Sirotčí důchod,T,Celkem,2008,I5200T5399,5200-5399,381.0
PK_D,Sirotčí důchod,T,Celkem,2008,I5400T5599,5400-5599,451.0
PK_D,Sirotčí důchod,T,Celkem,2008,I5600T5799,5600-5799,409.0
PK_D,Sirotčí důchod,T,Celkem,2008,I5800T5999,5800-5999,358.0
PK_D,Sirotčí důchod,T,Celkem,2008,I6000T6199,6000-6199,245.0
PK_D,Sirotčí důchod,T,Celkem,2008,I6200T6399,6200-6399,235.0
PK_D,Sirotčí důchod,T,Celkem,2008,I6400T6599,6400-6599,115.0
PK_D,Sirotčí důchod,T,Celkem,2008,I6600T6799,6600-6799,61.0
PK_D,Sirotčí důchod,T,Celkem,2008,I6800T6999,6800-6999,24.0
PK_D,Sirotčí důchod,T,Celkem,2008,I7000T7199,7000-7199,18.0
PK_D,Sirotčí důchod,T,Celkem,2008,I7200T7399,7200-7399,6.0
PK_D,Sirotčí důchod,T,Celkem,2008,I7400T7599,7400-7599,3.0
PK_D,Sirotčí důchod,T,Celkem,2008,I7600T7799,7600-7799,1.0
PK_D,Sirotčí důchod,T,Celkem,2008,I7800T7999,7800-7999,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I8000T8199,8000-8199,3.0
PK_D,Sirotčí důchod,T,Celkem,2008,I8200T8399,8200-8399,1.0
PK_D,Sirotčí důchod,T,Celkem,2008,I8400T8599,8400-8599,2.0
PK_D,Sirotčí důchod,T,Celkem,2008,I8600T8799,8600-8799,2.0
PK_D,Sirotčí důchod,T,Celkem,2008,I8800T8999,8800-8999,2.0
PK_D,Sirotčí důchod,T,Celkem,2008,I9000T9199,9000-9199,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I9200T9399,9200-9399,5.0
PK_D,Sirotčí důchod,T,Celkem,2008,I9400T9599,9400-9599,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I9600T9799,9600-9799,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I9800T9999,9800-9999,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I_GE14500,14500+,0.0
PK_D,Sirotčí důchod,T,Celkem,2008,I_T,Celkem,4512.0
PK_D,Sirotčí důchod,T,Celkem,2008,I_X,Neudáno,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I10000T10199,10000-10199,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I10200T10399,10200-10399,3.0
PK_D,Sirotčí důchod,T,Celkem,2009,I10400T10599,10400-10599,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I10600T10799,10600-10799,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I10800T10999,10800-10999,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I11000T11499,11000-11499,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I11500T11999,11500-11999,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I12000T12499,12000-12499,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I12500T12999,12500-12999,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I13000T13499,13000-13499,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I13500T13999,13500-13999,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I14000T14499,14000-14499,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I1T2999,1-2999,196.0
PK_D,Sirotčí důchod,T,Celkem,2009,I3000T3499,3000-3499,131.0
PK_D,Sirotčí důchod,T,Celkem,2009,I3500T3999,3500-3999,171.0
PK_D,Sirotčí důchod,T,Celkem,2009,I4000T4199,4000-4199,61.0
PK_D,Sirotčí důchod,T,Celkem,2009,I4200T4399,4200-4399,98.0
PK_D,Sirotčí důchod,T,Celkem,2009,I4400T4599,4400-4599,119.0
PK_D,Sirotčí důchod,T,Celkem,2009,I4600T4799,4600-4799,327.0
PK_D,Sirotčí důchod,T,Celkem,2009,I4800T4999,4800-4999,201.0
PK_D,Sirotčí důchod,T,Celkem,2009,I5000T5199,5000-5199,319.0
PK_D,Sirotčí důchod,T,Celkem,2009,I5200T5399,5200-5399,362.0
PK_D,Sirotčí důchod,T,Celkem,2009,I5400T5599,5400-5599,313.0
PK_D,Sirotčí důchod,T,Celkem,2009,I5600T5799,5600-5799,350.0
PK_D,Sirotčí důchod,T,Celkem,2009,I5800T5999,5800-5999,369.0
PK_D,Sirotčí důchod,T,Celkem,2009,I6000T6199,6000-6199,383.0
PK_D,Sirotčí důchod,T,Celkem,2009,I6200T6399,6200-6399,282.0
PK_D,Sirotčí důchod,T,Celkem,2009,I6400T6599,6400-6599,290.0
PK_D,Sirotčí důchod,T,Celkem,2009,I6600T6799,6600-6799,227.0
PK_D,Sirotčí důchod,T,Celkem,2009,I6800T6999,6800-6999,85.0
PK_D,Sirotčí důchod,T,Celkem,2009,I7000T7199,7000-7199,40.0
PK_D,Sirotčí důchod,T,Celkem,2009,I7200T7399,7200-7399,19.0
PK_D,Sirotčí důchod,T,Celkem,2009,I7400T7599,7400-7599,6.0
PK_D,Sirotčí důchod,T,Celkem,2009,I7600T7799,7600-7799,8.0
PK_D,Sirotčí důchod,T,Celkem,2009,I7800T7999,7800-7999,6.0
PK_D,Sirotčí důchod,T,Celkem,2009,I8000T8199,8000-8199,9.0
PK_D,Sirotčí důchod,T,Celkem,2009,I8200T8399,8200-8399,1.0
PK_D,Sirotčí důchod,T,Celkem,2009,I8400T8599,8400-8599,4.0
PK_D,Sirotčí důchod,T,Celkem,2009,I8600T8799,8600-8799,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I8800T8999,8800-8999,6.0
PK_D,Sirotčí důchod,T,Celkem,2009,I9000T9199,9000-9199,2.0
PK_D,Sirotčí důchod,T,Celkem,2009,I9200T9399,9200-9399,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I9400T9599,9400-9599,2.0
PK_D,Sirotčí důchod,T,Celkem,2009,I9600T9799,9600-9799,0.0
PK_D,Sirotčí důchod,T,Celkem,2009,I9800T9999,9800-9999,4.0
PK_D,Sirotčí důchod,T,Celkem,2009,I_GE14500,14500+,2.0
PK_D,Sirotčí důchod,T,Celkem,2009,I_T,Celkem,4396.0
PK_D,Sirotčí důchod,T,Celkem,2009,I_X,Neudáno,0.0
PK_D,Sirotčí důchod,T,Celkem,2010,I10000T10199,10000-10199,1.0
