druh_duchodu_kod,druh_duchodu,pohlavi_kod,pohlavi,referencni_obdobi,prumerna_vyse_duchodu_u_nove_priznanych_duchodu
PK_D,Sirotčí důchod,T,Celkem,2008,5105.3683510638302323
PK_D,Sirotčí důchod,T,Celkem,2009,5396.6610555050046969
PK_D,Sirotčí důchod,T,Celkem,2010,5568.4990006662228552
PK_D,Sirotčí důchod,T,Celkem,2011,5747.8588797221018467
PK_D,Sirotčí důchod,T,Celkem,2012,5533.5277214956713578
PK_D,Sirotčí důchod,T,Celkem,2013,5819.9535691039272933
PK_D,Sirotčí důchod,T,Celkem,2014,5837.0243445692885871
PK_D,Sirotčí důchod,T,Celkem,2015,5936.6988660226797947
PK_D,Sirotčí důchod,T,Celkem,2016,5981.501252562058653
PK_D,Sirotčí důchod,T,Celkem,2017,6306.4115087040618164
PK_D,Sirotčí důchod,T,Celkem,2018,6509.5076855511633767
PK_D,Sirotčí důchod,T,Celkem,2019,7411.7908808784914072
PK_D,Sirotčí důchod,T,Celkem,2020,7834.8387242705266544
PK_D,Sirotčí důchod,T,Celkem,2021,8157.3658287349271632
PK_D,Sirotčí důchod,T,Celkem,2022,9242.2981914424399292
PK_D,Sirotčí důchod,T,Celkem,2023,9880.3927003927001351
PK_D,Sirotčí důchod,T,Celkem,2024,10005.831994928099448
PK_D,Sirotčí důchod,T,Celkem,2025,10650.481822070099952
PK_I,Plný invalidní důchod,F,Žena,2008,9459.1767498343997431
PK_I,Plný invalidní důchod,F,Žena,2009,10111.365373344273394
PK_I,Plný invalidní důchod,M,Muž,2008,10560.858355604465032
PK_I,Plný invalidní důchod,M,Muž,2009,11272.891421234251538
PK_I,Plný invalidní důchod,T,Celkem,2008,10102.68425160697916
PK_I,Plný invalidní důchod,T,Celkem,2009,10800.85546875
PK_IC,Částečný invalidní důchod,F,Žena,2008,5610.749070484929689
PK_IC,Částečný invalidní důchod,F,Žena,2009,6061.739464201786177
PK_IC,Částečný invalidní důchod,M,Muž,2008,6249.7887323943659794
PK_IC,Částečný invalidní důchod,M,Muž,2009,6713.7293854748604645
PK_IC,Částečný invalidní důchod,T,Celkem,2008,5937.2534143227458117
PK_IC,Částečný invalidní důchod,T,Celkem,2009,6395.9368867168113866
PK_ID,Invalidní důchod druhého stupně,F,Žena,2010,6069.3766105054510263
PK_ID,Invalidní důchod druhého stupně,F,Žena,2011,6241.9945732609767219
PK_ID,Invalidní důchod druhého stupně,F,Žena,2012,6310.3202386872198986
PK_ID,Invalidní důchod druhého stupně,F,Žena,2013,6443.4693983402485173
PK_ID,Invalidní důchod druhého stupně,F,Žena,2014,6483.2993782879002538
PK_ID,Invalidní důchod druhého stupně,F,Žena,2015,6606.602983638113983
PK_ID,Invalidní důchod druhého stupně,F,Žena,2016,6727.6475875118258045
PK_ID,Invalidní důchod druhého stupně,F,Žena,2017,6977.634624816086216
PK_ID,Invalidní důchod druhého stupně,F,Žena,2018,7382.9192386831273325
PK_ID,Invalidní důchod druhého stupně,F,Žena,2019,8425.6631744368787622
PK_ID,Invalidní důchod druhého stupně,F,Žena,2020,8959.2066549912433402
PK_ID,Invalidní důchod druhého stupně,F,Žena,2021,9058.4924160346690769
PK_ID,Invalidní důchod druhého stupně,F,Žena,2022,10587.859966120800891
PK_ID,Invalidní důchod druhého stupně,F,Žena,2023,10774.449182243000905
PK_ID,Invalidní důchod druhého stupně,F,Žena,2024,11139.218623481800023
PK_ID,Invalidní důchod druhého stupně,F,Žena,2025,11783.139957265000703
PK_ID,Invalidní důchod druhého stupně,M,Muž,2010,6589.4951585976623392
PK_ID,Invalidní důchod druhého stupně,M,Muž,2011,6850.7051553672317823
PK_ID,Invalidní důchod druhého stupně,M,Muž,2012,6844.1889679715304737
PK_ID,Invalidní důchod druhého stupně,M,Muž,2013,7017.1342105263156554
PK_ID,Invalidní důchod druhého stupně,M,Muž,2014,6997.7696476964765679
PK_ID,Invalidní důchod druhého stupně,M,Muž,2015,7214.1169783645027564
PK_ID,Invalidní důchod druhého stupně,M,Muž,2016,7351.3869863013696886
PK_ID,Invalidní důchod druhého stupně,M,Muž,2017,7634.1271963330782455
PK_ID,Invalidní důchod druhého stupně,M,Muž,2018,7994.7803873094353548
PK_ID,Invalidní důchod druhého stupně,M,Muž,2019,9033.8875106928990135
PK_ID,Invalidní důchod druhého stupně,M,Muž,2020,9624.3977591036418744
PK_ID,Invalidní důchod druhého stupně,M,Muž,2021,9771.9154078549854603
PK_ID,Invalidní důchod druhého stupně,M,Muž,2022,11337.230404823400022
PK_ID,Invalidní důchod druhého stupně,M,Muž,2023,11389.88376470590083
PK_ID,Invalidní důchod druhého stupně,M,Muž,2024,11584.399593289299446
PK_ID,Invalidní důchod druhého stupně,M,Muž,2025,12466.185365853700205
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2010,6380.1196888090962602
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2011,6596.7729985593741731
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2012,6621.494503215100849
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2013,6776.0649520488232156
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2014,6767.6118955926403942
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2015,6951.3877211238295786
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2016,7073.3218051455078239
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2017,7346.6914322525226453
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2018,7722.6554564172956816
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2019,8760.4944666823648731
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2020,9328.8147859922173666
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2021,9455.5620946432864002
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2022,11012.985340825800449
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2023,11115.287985405300788
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2024,11376.142586580099305
PK_ID,Invalidní důchod druhého stupně,T,Celkem,2025,12140.162672106100217
PK_IP,Invalidní důchod prvního stupně,F,Žena,2010,4801.5563380281691934
PK_IP,Invalidní důchod prvního stupně,F,Žena,2011,4839.4108751608755483
PK_IP,Invalidní důchod prvního stupně,F,Žena,2012,4871.9934421841544463
PK_IP,Invalidní důchod prvního stupně,F,Žena,2013,4991.4573568159757997
PK_IP,Invalidní důchod prvního stupně,F,Žena,2014,5015.7824356263217851
PK_IP,Invalidní důchod prvního stupně,F,Žena,2015,5138.3246139663515351
PK_IP,Invalidní důchod prvního stupně,F,Žena,2016,5227.3146486423493116
PK_IP,Invalidní důchod prvního stupně,F,Žena,2017,5465.8105776869824695
PK_IP,Invalidní důchod prvního stupně,F,Žena,2018,5820.1572421784476319
PK_IP,Invalidní důchod prvního stupně,F,Žena,2019,6653.7239939696164583
PK_IP,Invalidní důchod prvního stupně,F,Žena,2020,7061.2101622772015617
PK_IP,Invalidní důchod prvního stupně,F,Žena,2021,7247.0639102329550951
PK_IP,Invalidní důchod prvního stupně,F,Žena,2022,8308.0754223173898936
PK_IP,Invalidní důchod prvního stupně,F,Žena,2023,8543.1137679335497523
PK_IP,Invalidní důchod prvního stupně,F,Žena,2024,8765.9491221325097285
PK_IP,Invalidní důchod prvního stupně,F,Žena,2025,9396.4147189260402229
PK_IP,Invalidní důchod prvního stupně,M,Muž,2010,5256.8875187969924809
PK_IP,Invalidní důchod prvního stupně,M,Muž,2011,5237.3684210526316747
PK_IP,Invalidní důchod prvního stupně,M,Muž,2012,5256.6566510644724985
PK_IP,Invalidní důchod prvního stupně,M,Muž,2013,5405.6020251610925698
PK_IP,Invalidní důchod prvního stupně,M,Muž,2014,5421.6900869052878988
PK_IP,Invalidní důchod prvního stupně,M,Muž,2015,5541.79997206313692
PK_IP,Invalidní důchod prvního stupně,M,Muž,2016,5664.528884056001516
PK_IP,Invalidní důchod prvního stupně,M,Muž,2017,5919.9452666852830589
PK_IP,Invalidní důchod prvního stupně,M,Muž,2018,6274.2534548662160887
PK_IP,Invalidní důchod prvního stupně,M,Muž,2019,7136.3505830903786773
PK_IP,Invalidní důchod prvního stupně,M,Muž,2020,7567.1058766391452082
PK_IP,Invalidní důchod prvního stupně,M,Muž,2021,7708.0902560899439777
PK_IP,Invalidní důchod prvního stupně,M,Muž,2022,8814.0443297403999168
PK_IP,Invalidní důchod prvního stupně,M,Muž,2023,9038.4702462380300858
PK_IP,Invalidní důchod prvního stupně,M,Muž,2024,9219.2503775801305892
PK_IP,Invalidní důchod prvního stupně,M,Muž,2025,9816.5547012654205901
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2010,5041.6032979229430566
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2011,5039.2502002242508752
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2012,5052.7401206101458229
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2013,5188.0772816665448772
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2014,5201.6272592392770093
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2015,5320.7126981120163691
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2016,5429.133266407328847
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2017,5669.4362361485009387
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2018,6020.3103291861070829
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2019,6867.5597106503910254
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2020,7289.3896312522820153
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2021,7449.2424159419297212
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2022,8530.3669712532500853
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2023,8753.1213571117896208
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2024,8962.2303444266799488
PK_IP,Invalidní důchod prvního stupně,T,Celkem,2025,9576.2401617989908118
PK_IT,Invalidní důchod třetího stupně,F,Žena,2010,9930.2993899577668344
PK_IT,Invalidní důchod třetího stupně,F,Žena,2011,10307.287325324834455
PK_IT,Invalidní důchod třetího stupně,F,Žena,2012,10361.654490868151697
PK_IT,Invalidní důchod třetího stupně,F,Žena,2013,10620.911542338710206
PK_IT,Invalidní důchod třetího stupně,F,Žena,2014,10646.890791300324054
PK_IT,Invalidní důchod třetího stupně,F,Žena,2015,10889.422556390976752
PK_IT,Invalidní důchod třetího stupně,F,Žena,2016,10972.536214389183442
