age,total_count,total_mean,male_count,male_mean,female_count,female_mean
Total,53624664,2071.30,26019071,2282.28,27605593,1872.43
62–64,2614309,1450.74,1260532,1597.27,1353777,1314.30
65–69,12509796,1967.07,6145461,2179.63,6364335,1761.81
70–74,14896326,2225.12,7366805,2462.21,7529521,1993.16
75–79,11456863,2153.59,5614602,2369.94,5842261,1945.68
80–84,6760500,2101.73,3250549,2301.47,3509951,1916.76
85–89,3512033,2018.02,1617958,2182.80,1894075,1877.27
90–94,1425803,1902.18,607444,1992.75,818359,1834.95
95–99,391956,1887.53,140613,1973.41,251343,1839.48
100+,57078,1832.64,15107,1922.92,41971,1800.15
